tool_name,PMID,publicationDOI,URL,biotoolsID,commit_id_260317
xrdPlanner,38306298,10.1107/S1600577523011086,https://github.com/LennardKrause/xrdPlanner,,22052a15c46ee8ab1f8485c708050535df517760
TensorView MATLAB,36610267,10.1016/j.ssnmr.2022.101849,https://github.com/LeoSvenningsson/TensorViewforMatlab,,f2f92b5a81f6a6081bf9338c778ad13e0eb6728a
STmut,38037084,10.1186/s13059-023-03121-6,https://github.com/limin321/stmut,,8a1a61ee23d6e239320c06d1de11c4b931b84063
CVRmap,38538633,10.1038/s41598-024-57572-3,https://github.com/ln2t/cvrmap,,b833410c9d0093614b0d777ba843913348b71601
OpenCustomDB,36961377,10.1021/acs.jproteome.3c00054,https://github.com/MAB-Lab/OpenCustomDB,,0e27fcb715fabea8b985aede7ad77140d159032c
MSLibrarian,35042333,10.1021/acs.jproteome.1c00796,https://github.com/MarcIsak/MSLibrarian,,435357a577debd37637d3466a300909c254438da
ARBitR,33216122,10.1093/bioinformatics/btaa975,https://github.com/markhilt/ARBitR,,9a73a205c488b766c6547d6d3ec68a5634b3a989
Panqc,40341387,10.1093/bioinformatics/btaf219,https://github.com/maxgmarin/panqc,,b19db4e7cda1747485e1bf70b1113aa8033d9849
MaRe,32369166,10.1093/gigascience/giaa042,https://github.com/mcapuccini/MaRe,,329c31cb8fb35a4c5fbca39bb2fd5ca3454835a6
BFEX,40051453,10.1002/ece3.71093,https://github.com/MiguelDLM/BFEX,,ee254bb7f24d847a9758e6ad2b0d6bff7f1e9c83
Neo4COVID19,35057621,10.1021/acs.jcim.1c00431,https://github.com/ncats/neo4covid19,,8ad3e2457773653795fc7bdd037b6dfd97a11f62
soibean,39361595,10.1093/molbev/msae203,https://github.com/nicolaavogel/soibeanDatabase,,e1662f3678ab0499056d090f2cde3949beab4f32
ThoughtSource,37553439,10.1038/s41597-023-02433-3,https://github.com/OpenBioLink/ThoughtSource,,760b2c7f536759fb1b487d2cc5d789236fcba737
CNNGWP,32117441,10.3389/fgene.2020.00025,https://github.com/patwa67/CNNGWP,,eb999f1146c7ea3b93481bc3fedfd0ae49f29026
Met-ID,40253716,10.1021/acs.analchem.5c00633,https://github.com/pbjarterot/Met-ID,,dbaed695307b7d553ad0190208e58f3429e04c4f
Demes,36173327,10.1093/genetics/iyac131,https://github.com/popsim-consortium/demes-python,,4bc3f959867ea67aba71bed999be8d92eece7297
MagicalRsq-X,38636510,10.1016/j.ajhg.2024.04.001,https://github.com/quansun98/MagicalRsqX,,f47345ceabe729f9c60e2ce428cd49595f9f94ec
BacSPaD,39204272,10.3390/pathogens13080672,https://github.com/ribeirosara/BacSPaD,,ef292b592d46581b19d8623b70ac9708a303468c
MultiStageSearch,40384001,10.1021/acs.jproteome.4c00901,https://github.com/rki-mf2/MultiStageSearch,,5a3e0ab3bba641d52fbba7fb64bf8c14246591af
DeepMAP,40092793,10.1021/acsomega.4c09485,https://github.com/SAbakumov/DeepMAP,,32aa4786c5731f918daba3462e972f30dc229134
MP-Net,35704628,10.1371/journal.pone.0269449,https://github.com/sanghyeonp/MP-Net,,c796c8e7a23a8440cff44511de444efe684815e4
ParaRef,41131579,10.1186/s13059-025-03818-w,https://github.com/schroeder-group/ParaRef,,ceef2b17458f7e855f37039bdda88126574df3eb
prophaser,36377787,10.1093/bioinformatics/btac738,https://github.com/scicompuu/prophaser,,a4749c0f8b0b5eff7f4df4e99df9786d7b07e51b
BinDel,39921343,10.1002/pd.6758,https://github.com/seqinfo/BinDel,,2121eb8f355f45ba73472f13bbbcaac19b53e0be
RADSex,33590960,10.1111/1755-0998.13360,https://github.com/SexGenomicsToolkit/radsex,,841442d18c463f4b0d3a720e2664e589953befca
EyeLoop,34955752,10.3389/fncel.2021.779628,https://github.com/simonarvin/eyeloop,,cd22fb79e8d2c186ed23e2b15cef57887bbdeffe
Myotube Analyzer,35689270,10.1186/s13395-022-00297-6,https://github.com/SimonNoe/myotube-analyzer-app,,eef7b4c93d93ca6db7e0bf181d92cf854f34f626
CellexalVR,34849461,10.1016/j.isci.2021.103251,https://github.com/sonejilab/cellexalvr,,cee0b08b21b19975c4aa48a184c5f1b3421b9429
SoIR,39526372,10.1093/nar/gkae1040,https://github.com/songxm-ncst/SoIR-Synteny_HTML,,ace932cc073d5d8806cd34b36edae82ef93e7da6
Quandenser+Triqler,32591519,10.1038/s41467-020-17037-3,https://github.com/statisticalbiotechnology/quandenser,,1aec3997000dfedeeba695965777707d095dc167
STCellbin,38434932,10.46471/gigabyte.110,https://github.com/STOmics/STCellbin,,701e273064226f7e1df863a7c4be2bb9b8443616
OneFlowTraX,38708397,10.3389/fpls.2024.1358935,https://github.com/svenzok/OneFlowTraX,,f3206ea58539c5cfbb60e9b28f865175d2c05c1f
PhyloFisher,34358228,10.1371/journal.pbio.3001365,https://github.com/TheBrownLab/PhyloFisher,,5677cb3a05a0793e4c9b50f87d578e7ea6c17f22
ionmob,37540201,10.1093/bioinformatics/btad486,https://github.com/theGreatHerrLebert/ionmob,,2af2a270957ab4363567b978b48161b256e86980
NucleoSeeker,40104673,10.1093/nargab/lqaf021,https://github.com/theuutkarsh/nucleoseeker,,04af2d24401aedb6b1390b7f5dad08069197755e
seqNdisplayR,38502686,10.1016/j.xpro.2024.102960,https://github.com/THJlab/seqNdisplayR,,b2a21c7cd6633a6fc872b60af6be59e3e5ce18bb
Varia,35073845,10.1186/s12859-022-04573-6,https://github.com/ThomasDOtto/varDB/,,ba72ea07884469f203abcb7eae19ab3e0336c585
dsMTL,36073911,10.1093/bioinformatics/btac616,https://github.com/transbioZI/dsMTLBase,,000460eb4a81f8fdb6903d1ac44db2ad1b5f3489
Genesis-DB,37600845,10.1093/bioadv/vbad102,https://github.com/TW-Genesis/genesis-database-system,,82e568d7ccb48907ebb2d143457d5d2377da3908
HOMS-TC,37369033,10.1093/bioinformatics/btad404,https://github.com/tycheyoung/homs-tc,,62881da9205d3118388324540fd2c14178cd634f
CLIPPER 2.0,38703894,10.1016/j.mcpro.2024.100781,https://github.com/UadKLab/CLIPPER-2.0,,c893526af33b530e05f57dc349b01ef0f0d18094
TARDIS,40296498,10.1021/acs.analchem.5c00567,https://github.com/UGent-LIMET/TARDIS,,335bfbc4d96199af11a9d3153ae5eb61b34bdcf2
CCMetagen,32345331,10.1186/s13059-020-02014-2,https://github.com/vrmarcelino/CCMetagen,,600c38b2078c5752098e4f0c13a31b7a327fa2fe
NanoPack2,37171891,10.1093/bioinformatics/btad311,https://github.com/wdecoster/nanopack,,4059a0afa4e51220fd0107750ebc2d818996de97
18S-NemaBase,37143483,10.2478/jofnem-2023-0006,https://github.com/WormsEtAl/18SNemaBase,,608d3e3662bd844538bc78fbfdabf22c2d6af111
CoverM,40193404,10.1093/bioinformatics/btaf147,https://github.com/wwood/coverm,,b75eb6c90b00af4e8fdd6c691efdcc299e8c887c
GeneDMRs,33185472,10.1089/cmb.2020.0081,https://github.com/xiaowangCN/GeneDMRs,,5e8100965b5e9db18294bcf94167f90e2e51b588
MITST,40687991,10.1016/j.csbj.2025.06.039,https://github.com/zavareh89/MITST,,3c81a96248ca7244c7ff794ab29e2a5a5ed3f742
SNPtotree,37895186,10.3390/genes14101837,https://github.com/ZehraKoksal/SNPtotree,,ae4f3dc678f210355f2c84e58a8c8e255d886e43
OpenPhi,34358287,10.1093/bioinformatics/btab578,https://gitlab.com/BioimageInformaticsGroup/openphi,,0700b3856c13d0f07b99a14a595ec9fc016b6b3f
